model,k,O_TPR,O_TNR,O_ACC,O_GMEAN,M_TPR,M_TNR,M_ACC,M_GMEAN,D_ACC,D_GMEAN
lml6,2,92.94,94.16,93.55,93.55,91.54,94.16,92.85,92.84,-0.75,-0.76
lml6,3,95.5,93.68,94.59,94.59,94.46,93.68,94.07,94.07,-0.55,-0.55
lml6,4,93.56,95.64,94.6,94.59,93.02,95.64,94.33,94.32,-0.29,-0.29
lml6,5,92.88,95.88,94.38,94.37,91.42,95.88,93.65,93.62,-0.77,-0.79
lml6,6,94.24,94.5,94.37,94.37,92.94,94.5,93.72,93.72,-0.69,-0.69
lml6,7,93.7,94.54,94.12,94.12,93.52,94.54,94.03,94.03,-0.1,-0.1
lml6,8,94.26,95.02,94.64,94.64,92.78,95.02,93.9,93.89,-0.78,-0.79
lml6,9,94.52,94.98,94.75,94.75,93.36,94.98,94.17,94.17,-0.61,-0.61
lml6,10,94.1,95.48,94.79,94.79,93.12,95.48,94.3,94.29,-0.52,-0.53
lml6,20,95.64,95.96,95.8,95.8,93.38,95.96,94.67,94.66,-1.18,-1.19
lml6,30,96.24,96.36,96.3,96.3,93.72,96.36,95.04,95.03,-1.31,-1.32
lml6,40,96.56,96.44,96.5,96.5,94.04,96.44,95.24,95.23,-1.31,-1.32
lml6,50,96.62,96.52,96.57,96.57,93.42,96.52,94.97,94.96,-1.66,-1.67
lml6,60,97.2,97.04,97.12,97.12,94.2,97.04,95.62,95.61,-1.54,-1.55
lml6,70,97.56,96.7,97.13,97.13,94.38,96.7,95.54,95.53,-1.64,-1.65
lml6,80,97.58,96.96,97.27,97.27,94.64,96.96,95.8,95.79,-1.51,-1.52
lml6,90,97.34,97.08,97.21,97.21,94.34,97.08,95.71,95.7,-1.54,-1.55
lml6,100,97.82,97.04,97.43,97.43,94.82,97.04,95.93,95.92,-1.54,-1.55
lml6,125,97.38,97.32,97.35,97.35,94.9,97.32,96.11,96.1,-1.27,-1.28
lml6,150,97.68,97.22,97.45,97.45,95.74,97.22,96.48,96.48,-1.0,-1.0
lml6,175,97.82,97.34,97.58,97.58,95.5,97.34,96.42,96.42,-1.19,-1.19
lml6,200,97.68,97.48,97.58,97.58,95.36,97.48,96.42,96.41,-1.19,-1.2
lml6,250,97.78,97.24,97.51,97.51,95.6,97.24,96.42,96.42,-1.12,-1.12
lml6,500,98.48,97.4,97.94,97.94,96.24,97.4,96.82,96.82,-1.14,-1.14
lml6,1000,98.44,97.94,98.19,98.19,96.28,97.94,97.11,97.11,-1.1,-1.1
lml6,2000,98.48,97.98,98.23,98.23,96.26,97.98,97.12,97.12,-1.13,-1.13
lml6,5000,98.24,98.34,98.29,98.29,95.66,98.34,97.0,96.99,-1.31,-1.32
lml12,2,92.56,95.8,94.18,94.17,91.08,95.8,93.44,93.41,-0.79,-0.81
lml12,3,94.52,95.8,95.16,95.16,93.8,95.8,94.8,94.79,-0.38,-0.39
lml12,4,94.68,95.66,95.17,95.17,93.82,95.66,94.74,94.74,-0.45,-0.45
lml12,5,94.16,96.14,95.15,95.14,93.02,96.14,94.58,94.57,-0.6,-0.6
lml12,6,94.32,96.4,95.36,95.35,93.38,96.4,94.89,94.88,-0.49,-0.49
lml12,7,93.94,96.52,95.23,95.22,92.58,96.52,94.55,94.53,-0.71,-0.72
lml12,8,94.62,95.9,95.26,95.26,93.16,95.9,94.53,94.52,-0.77,-0.78
lml12,9,95.64,95.66,95.65,95.65,93.76,95.66,94.71,94.71,-0.98,-0.98
lml12,10,95.92,95.44,95.68,95.68,94.48,95.44,94.96,94.96,-0.75,-0.75
lml12,20,96.64,96.08,96.36,96.36,94.98,96.08,95.53,95.53,-0.86,-0.86
lml12,30,96.56,96.56,96.56,96.56,94.7,96.56,95.63,95.63,-0.96,-0.96
lml12,40,97.26,96.88,97.07,97.07,95.52,96.88,96.2,96.2,-0.9,-0.9
lml12,50,97.32,97.0,97.16,97.16,95.14,97.0,96.07,96.07,-1.12,-1.12
lml12,60,97.0,96.94,96.97,96.97,95.52,96.94,96.23,96.23,-0.76,-0.76
lml12,70,97.24,96.92,97.08,97.08,96.16,96.92,96.54,96.54,-0.56,-0.56
lml12,80,97.1,97.12,97.11,97.11,95.34,97.12,96.23,96.23,-0.91,-0.91
lml12,90,96.9,96.84,96.87,96.87,95.2,96.84,96.02,96.02,-0.88,-0.88
lml12,100,97.04,97.0,97.02,97.02,95.8,97.0,96.4,96.4,-0.64,-0.64
lml12,125,97.38,96.96,97.17,97.17,95.62,96.96,96.29,96.29,-0.91,-0.91
lml12,150,97.48,96.94,97.21,97.21,95.62,96.94,96.28,96.28,-0.96,-0.96
