embedding,embedding_size,regressor,hyperparams,seed,accuracy,tpr,tnr,precision,recall,g_mean,tn,fp,fn,tp
lml12,384,svm,kernel-linear,823,0.9763,0.9796,0.9730,0.9732,0.9796,0.9763,4865,135,102,4898
lml12,384,svm,kernel-poly,823,0.9876,0.9902,0.9850,0.9851,0.9902,0.9876,4925,75,49,4951
lml12,384,svm,kernel-rbf,823,0.9849,0.9884,0.9814,0.9815,0.9884,0.9849,4907,93,58,4942
lml12,384,svm,kernel-sigmoid,823,0.9539,0.9518,0.9560,0.9558,0.9518,0.9539,4780,220,241,4759
lml12,384,logistic_regression,max_iter-50,823,0.9721,0.9768,0.9674,0.9677,0.9768,0.9721,4837,163,116,4884
lml12,384,logistic_regression,max_iter-100,823,0.9721,0.9768,0.9674,0.9677,0.9768,0.9721,4837,163,116,4884
lml12,384,logistic_regression,max_iter-500,823,0.9721,0.9768,0.9674,0.9677,0.9768,0.9721,4837,163,116,4884
lml12,384,random_forest,n_estimators-80,823,0.9609,0.9624,0.9594,0.9595,0.9624,0.9609,4797,203,188,4812
lml12,384,random_forest,n_estimators-80,950,0.9614,0.9652,0.9576,0.9579,0.9652,0.9614,4788,212,174,4826
lml12,384,random_forest,n_estimators-80,686,0.9607,0.9630,0.9584,0.9586,0.9630,0.9607,4792,208,185,4815
lml12,384,random_forest,n_estimators-80,319,0.9615,0.9650,0.9580,0.9583,0.9650,0.9615,4790,210,175,4825
lml12,384,random_forest,n_estimators-80,84,0.9609,0.9652,0.9566,0.9570,0.9652,0.9609,4783,217,174,4826
lml12,384,random_forest,n_estimators-100,823,0.9616,0.9634,0.9598,0.9599,0.9634,0.9616,4799,201,183,4817
lml12,384,random_forest,n_estimators-100,950,0.9608,0.9646,0.9570,0.9573,0.9646,0.9608,4785,215,177,4823
lml12,384,random_forest,n_estimators-100,686,0.9602,0.9642,0.9562,0.9565,0.9642,0.9602,4781,219,179,4821
lml12,384,random_forest,n_estimators-100,319,0.9608,0.9646,0.9570,0.9573,0.9646,0.9608,4785,215,177,4823
lml12,384,random_forest,n_estimators-100,84,0.9606,0.9646,0.9566,0.9569,0.9646,0.9606,4783,217,177,4823
lml12,384,random_forest,n_estimators-200,823,0.9618,0.9664,0.9572,0.9576,0.9664,0.9618,4786,214,168,4832
lml12,384,random_forest,n_estimators-200,950,0.9612,0.9664,0.9560,0.9565,0.9664,0.9612,4780,220,168,4832
lml12,384,random_forest,n_estimators-200,686,0.9610,0.9648,0.9572,0.9575,0.9648,0.9610,4786,214,176,4824
lml12,384,random_forest,n_estimators-200,319,0.9612,0.9660,0.9564,0.9568,0.9660,0.9612,4782,218,170,4830
lml12,384,random_forest,n_estimators-200,84,0.9604,0.9644,0.9564,0.9567,0.9644,0.9604,4782,218,178,4822
lml12,384,naive_bayes,none-n,823,0.9362,0.9688,0.9036,0.9095,0.9688,0.9356,4518,482,156,4844
lml12,384,naive_bayes,none-o,823,0.9362,0.9688,0.9036,0.9095,0.9688,0.9356,4518,482,156,4844
lml12,384,naive_bayes,none-n,823,0.9362,0.9688,0.9036,0.9095,0.9688,0.9356,4518,482,156,4844
lml12,384,naive_bayes,none-e,823,0.9362,0.9688,0.9036,0.9095,0.9688,0.9356,4518,482,156,4844
lml12,384,mlp,num_layers-2_dropout-0.1,823,0.9771,0.9798,0.9744,0.9745,0.9798,0.9771,4872,128,101,4899
lml12,384,mlp,num_layers-2_dropout-0.1,950,0.9782,0.9818,0.9746,0.9748,0.9818,0.9782,4873,127,91,4909
lml12,384,mlp,num_layers-2_dropout-0.1,686,0.9768,0.9842,0.9694,0.9698,0.9842,0.9768,4847,153,79,4921
lml12,384,mlp,num_layers-2_dropout-0.1,319,0.9779,0.9818,0.9740,0.9742,0.9818,0.9779,4870,130,91,4909
lml12,384,mlp,num_layers-2_dropout-0.1,84,0.9769,0.9826,0.9712,0.9715,0.9826,0.9769,4856,144,87,4913
lml12,384,mlp,num_layers-2_dropout-0.2,823,0.9767,0.9788,0.9746,0.9747,0.9788,0.9767,4873,127,106,4894
lml12,384,mlp,num_layers-2_dropout-0.2,950,0.9782,0.9818,0.9746,0.9748,0.9818,0.9782,4873,127,91,4909
lml12,384,mlp,num_layers-2_dropout-0.2,686,0.9768,0.9836,0.9700,0.9704,0.9836,0.9768,4850,150,82,4918
lml12,384,mlp,num_layers-2_dropout-0.2,319,0.9770,0.9804,0.9736,0.9738,0.9804,0.9770,4868,132,98,4902
lml12,384,mlp,num_layers-2_dropout-0.2,84,0.9767,0.9822,0.9712,0.9715,0.9822,0.9767,4856,144,89,4911
