embedding,embedding_size,regressor,hyperparams,accuracy_mean,accuracy_min,accuracy_max,accuracy_std,tpr_mean,tpr_min,tpr_max,tpr_std,tnr_mean,tnr_min,tnr_max,tnr_std,precision_mean,precision_min,precision_max,precision_std,recall_mean,recall_min,recall_max,recall_std,g_mean_mean,g_mean_min,g_mean_max,g_mean_std,tn_mean,tn_min,tn_max,tn_std,fp_mean,fp_min,fp_max,fp_std,fn_mean,fn_min,fn_max,fn_std,tp_mean,tp_min,tp_max,tp_std
lml12,384,logistic_regression,max_iter-100,0.9721,0.9721,0.9721,,0.9768,0.9768,0.9768,,0.9674,0.9674,0.9674,,0.9677,0.9677,0.9677,,0.9768,0.9768,0.9768,,0.9721,0.9721,0.9721,,4837.0000,4837,4837,,163.0000,163,163,,116.0000,116,116,,4884.0000,4884,4884,
lml12,384,logistic_regression,max_iter-50,0.9721,0.9721,0.9721,,0.9768,0.9768,0.9768,,0.9674,0.9674,0.9674,,0.9677,0.9677,0.9677,,0.9768,0.9768,0.9768,,0.9721,0.9721,0.9721,,4837.0000,4837,4837,,163.0000,163,163,,116.0000,116,116,,4884.0000,4884,4884,
lml12,384,logistic_regression,max_iter-500,0.9721,0.9721,0.9721,,0.9768,0.9768,0.9768,,0.9674,0.9674,0.9674,,0.9677,0.9677,0.9677,,0.9768,0.9768,0.9768,,0.9721,0.9721,0.9721,,4837.0000,4837,4837,,163.0000,163,163,,116.0000,116,116,,4884.0000,4884,4884,
lml12,384,mlp,num_layers-2_dropout-0.1,0.9774,0.9768,0.9782,0.0006,0.9820,0.9798,0.9842,0.0016,0.9727,0.9694,0.9746,0.0023,0.9730,0.9698,0.9748,0.0022,0.9820,0.9798,0.9842,0.0016,0.9774,0.9768,0.9782,0.0006,4863.6000,4847,4873,11.5456,136.4000,127,153,11.5456,89.8000,79,101,7.9498,4910.2000,4899,4921,7.9498
lml12,384,mlp,num_layers-2_dropout-0.2,0.9771,0.9767,0.9782,0.0006,0.9814,0.9788,0.9836,0.0018,0.9728,0.9700,0.9746,0.0021,0.9730,0.9704,0.9748,0.0020,0.9814,0.9788,0.9836,0.0018,0.9771,0.9767,0.9782,0.0006,4864.0000,4850,4873,10.4642,136.0000,127,150,10.4642,93.2000,82,106,9.1488,4906.8000,4894,4918,9.1488
lml12,384,mlp,num_layers-2_dropout-0.3,0.9768,0.9760,0.9781,0.0009,0.9811,0.9784,0.9828,0.0017,0.9724,0.9698,0.9742,0.0022,0.9727,0.9702,0.9744,0.0021,0.9811,0.9784,0.9828,0.0017,0.9767,0.9760,0.9781,0.0009,4862.2000,4849,4871,11.1893,137.8000,129,151,11.1893,94.6000,86,108,8.6487,4905.4000,4892,4914,8.6487
lml12,384,mlp,num_layers-3_dropout-0.1,0.9839,0.9832,0.9843,0.0005,0.9870,0.9848,0.9886,0.0015,0.9808,0.9800,0.9822,0.0009,0.9809,0.9802,0.9822,0.0008,0.9870,0.9848,0.9886,0.0015,0.9839,0.9832,0.9843,0.0005,4903.8000,4900,4911,4.4385,96.2000,89,100,4.4385,65.2000,57,76,7.6942,4934.8000,4924,4943,7.6942
lml12,384,mlp,num_layers-3_dropout-0.2,0.9832,0.9825,0.9840,0.0006,0.9861,0.9832,0.9888,0.0022,0.9804,0.9792,0.9818,0.0012,0.9805,0.9794,0.9818,0.0011,0.9861,0.9832,0.9888,0.0022,0.9832,0.9825,0.9840,0.0006,4901.8000,4896,4909,6.0581,98.2000,91,104,6.0581,69.4000,56,84,10.8536,4930.6000,4916,4944,10.8536
lml12,384,mlp,num_layers-3_dropout-0.3,0.9824,0.9818,0.9834,0.0007,0.9853,0.9836,0.9874,0.0016,0.9795,0.9782,0.9804,0.0009,0.9796,0.9784,0.9805,0.0009,0.9853,0.9836,0.9874,0.0016,0.9824,0.9818,0.9834,0.0007,4897.4000,4891,4902,4.7223,102.6000,98,109,4.7223,73.4000,63,82,8.2037,4926.6000,4918,4937,8.2037
lml12,384,naive_bayes,none-e,0.9362,0.9362,0.9362,,0.9688,0.9688,0.9688,,0.9036,0.9036,0.9036,,0.9095,0.9095,0.9095,,0.9688,0.9688,0.9688,,0.9356,0.9356,0.9356,,4518.0000,4518,4518,,482.0000,482,482,,156.0000,156,156,,4844.0000,4844,4844,
